"date","prop_good","Nsurvey","Nposts","LIWCpos","LIWCneg","GSpos","GSneg","LIWC","GS"
2020-11-09,NA,NA,19820,NA,NA,NA,NA,NA,NA
2020-11-10,NA,NA,21932,NA,NA,NA,NA,NA,NA
2020-11-11,0.645394239650684,11909,23215,0.131193472895351,-0.0764542264269454,0.126085009539744,0.0360701098659911,0.207647699322296,0.0900148996737526
2020-11-12,0.625644431793023,31617,23121,0.111450892024323,-0.0664259170195985,0.118899972477402,0.0489007363550339,0.177876809043921,0.0699992361223685
2020-11-13,0.606378915202445,26180,24933,0.0969836002507434,-0.0468549929558272,0.0852841105041475,0.0524494413976807,0.143838593206571,0.0328346691064668
2020-11-14,0.598760976783351,16626,37046,0.0738753223592218,-0.0244949984610203,0.0882750497392695,0.04740200459281,0.098370320820242,0.0408730451464595
2020-11-15,0.609519031792814,15947,28364,0.0962373593395948,-0.00912120081475043,0.10691600397104,0.0388195391398507,0.105358560154345,0.068096464831189
2020-11-16,0.636596073134256,20729,22296,0.0987564377920056,-0.0228589840541393,0.114473099984552,0.0382418206897199,0.121615421846145,0.0762312792948324
2020-11-17,0.640625,13632,20512,0.115849570849223,-0.0190905897157553,0.153631775493606,0.0441731476893117,0.134940160564978,0.109458627804294
2020-11-18,0.653231881874341,13274,24429,0.129131379875308,0.00573674767238405,0.158595785593175,0.0447184413880158,0.123394632202924,0.113877344205159
2020-11-19,0.65484532558537,11702,19072,0.150773270561113,0.0115968667573567,0.18689024003035,0.0401621090209773,0.139176403803756,0.146728131009372
2020-11-20,0.659049728206161,9934,15458,0.153263921151576,-0.0139041675312499,0.168201046114865,0.0288543484876896,0.167168088682826,0.139346697627176
2020-11-21,0.698704103671706,9260,17285,0.172071001390195,-0.0630233001088784,0.258449362540596,0.0262592251054078,0.235094301499074,0.232190137435188
2020-11-22,0.716379224404347,10031,16255,0.201198664796069,-0.019231995682377,0.317768582225349,0.0264759253399964,0.220430660478446,0.291292656885352
2020-11-23,0.699045801526718,10480,18241,0.168250809775161,-0.0242158148929969,0.275224198228416,0.0269330787129778,0.192466624668158,0.248291119515438
2020-11-24,0.648037258815702,10521,16848,0.118488564465607,-0.0648209005504291,0.159061963711903,0.0313905693796339,0.183309465016036,0.127671394332269
2020-11-25,0.64093137254902,9792,21167,0.0734007655206152,-0.104643295811956,0.0787430731769854,0.0263900835236519,0.178044061332571,0.0523529896533335
2020-11-26,0.63365741204771,9977,20177,0.0819066261516855,-0.0839946393523025,0.0848433964190307,0.0334401754586511,0.165901265503988,0.0514032209603796
2020-11-27,0.646296480909182,10031,17039,0.0776514272743964,-0.062371550153296,0.0990850131413016,0.034666612512856,0.140022977427692,0.0644184006284456
2020-11-28,0.657142857142857,7700,13875,0.113696014098449,-0.0616497088646333,0.158969239037816,0.0426467767755665,0.175345722963082,0.116322462262249
2020-11-29,0.689163270198993,8342,14257,0.134871186363151,-0.0499207383917255,0.187973574081771,0.0431994355201876,0.184791924754877,0.144774138561583
2020-11-30,0.679911911145155,10444,16671,0.111132349494706,-0.0676459237018128,0.166757104337641,0.0421706169531665,0.178778273196519,0.124586487384475
